¿¸«•¿œ¿⁄,ITEM_CD,¡¶«∞ƒ⁄µÂ/∏Ì  ƒ™, ºˆ  ∑Æ,∆«∏≈¥‹∞°, ∆«∏≈¥Î±›,
20170104,20912612,µø√Ê«œ√  ¿”Ω≈µ∑S(MB)," 3,120 ",432.8," 1,350,330 ",
20170109,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,330 ",465.2," 1,083,910 ",
20170109,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,330 ",441.6," 1,912,120 ",
20170109,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 9,260 ",465.2," 4,307,750 ",
20170116,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,980 ",465.2," 1,851,490 ",
20170116,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,350 ",441.6," 1,479,360 ",
20170119,20912612,µø√Ê«œ√  ¿”Ω≈µ∑S(MB)," 3,520 ",432.8," 1,523,450 ",
20170119,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,500 ",465.2," 1,628,200 ",
20170123,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,320 ",465.2," 1,079,260 ",
20170123,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,450 ",441.6," 1,965,120 ",
20170124,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 8,840 ",465.2," 4,112,360 ",
20170201,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,510 ",465.2," 1,167,650 ",
20170201,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,570 ",441.6," 2,018,110 ",
20170203,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,260 ",465.2," 1,516,550 ",
20170206,21011812,µø√Ê«œ√  ∆˜¿Øµ∑S(MB)," 3,110 ",478," 1,486,580 ",
20170208,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,440 ",465.2," 1,135,080 ",
20170208,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,710 ",441.6," 2,079,930 ",
20170210,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,270 ",465.2," 1,521,200 ",
20170216,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,470 ",441.6," 1,532,350 ",
20170217,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,460 ",441.6," 1,527,930 ",
20170220,21011812,µø√Ê«œ√  ∆˜¿Øµ∑S(MB)," 3,030 ",478," 1,448,340 ",
20170221,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,070 ",465.2," 1,893,360 ",
20170227,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,600 ",465.2," 2,139,920 ",
20170227,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,660 ",441.6," 1,616,250 ",
20170228,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,900 ",465.2," 1,814,280 ",
20170306,21011812,µø√Ê«œ√  ∆˜¿Øµ∑S(MB)," 3,140 ",487.6," 1,531,060 ",
20170308,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 8,290 ",465.2," 3,856,500 ",
20170309,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,940 ",465.2," 1,367,680 ",
20170309,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,770 ",441.6," 1,664,830 ",
20170321,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,360 ",465.2," 2,028,270 ",
20170321,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,580 ",441.6," 2,022,520 ",
20170327,20912612,µø√Ê«œ√  ¿”Ω≈µ∑S(MB)," 3,130 ",432.8," 1,354,660 ",
20170327,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,140 ",465.2," 1,925,920 ",
20170331,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 5,930 ",465.2," 2,758,630 ",
20170331,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,700 ",441.6," 1,192,320 ",
20170410,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 6,840 ",465.2," 3,181,960 ",
20170412,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,170 ",441.6," 1,399,870 ",
20170417,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 5,290 ",441.6," 2,336,060 ",
20170417,20912612,µø√Ê«œ√  ¿”Ω≈µ∑S(MB)," 3,480 ",432.8," 1,506,140 ",
20170421,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,140 ",465.2," 1,460,720 ",
20170427,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,330 ",441.6," 1,470,520 ",
20170502,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,730 ",465.2," 2,200,390 ",
20170502,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,040 ",441.6," 1,342,460 ",
20170502,20912612,µø√Ê«œ√  ¿”Ω≈µ∑S(MB)," 1,510 ",432.8," 653,520 ",
20170502,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,490 ",465.2," 1,623,540 ",
20170510,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,510 ",465.2," 1,632,850 ",
20170510,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,390 ",441.6," 1,497,020 ",
20170512,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,740 ",465.2," 1,739,840 ",
20170516,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 7,100 ",465.2," 3,302,920 ",
20170516,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,760 ",441.6," 1,218,810 ",
20170517,20912612,µø√Ê«œ√  ¿”Ω≈µ∑S(MB)," 3,230 ",432.8," 1,397,940 ",
20170523,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,350 ",465.2," 2,023,620 ",
20170523,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,250 ",441.6," 1,435,200 ",
