¿¸«•¿œ¿⁄,ITEM_CD,¡¶«∞ƒ⁄µÂ/∏Ì  ƒ™, ºˆ  ∑Æ ,∆«∏≈¥‹∞°, ∆«∏≈¥Î±› ,
20170109,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,030 ",465.2," 1,409,550 ",
20170116,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,060 ",465.2," 1,423,510 ",
20170117,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,080 ",465.2," 967,610 ",
20170117,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,220 ",441.6," 1,863,550 ",
20170124,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,040 ",441.6," 2,667,260 ",
20170131,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,270 ",441.6," 2,768,830 ",
20170208,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,290 ",441.6," 2,777,660 ",
20170215,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,630 ",441.6," 2,927,800 ",
20170222,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,060 ",465.2," 958,310 ",
20170223,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,300 ",441.6," 1,898,880 ",
20170302,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 1,950 ",465.2," 907,140 ",
20170302,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,020 ",441.6," 1,775,230 ",
20170308,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 1,980 ",465.2," 921,090 ",
20170308,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,060 ",441.6," 1,792,890 ",
20170315,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 1,980 ",465.2," 921,090 ",
20170315,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,130 ",441.6," 1,823,800 ",
20170322,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 1,950 ",465.2," 907,140 ",
20170322,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,080 ",441.6," 1,801,720 ",
20170329,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,020 ",465.2," 939,700 ",
20170329,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,180 ",441.6," 1,845,880 ",
20170405,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 1,950 ",465.2," 907,140 ",
20170405,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,160 ",441.6," 1,837,050 ",
20170412,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 1,980 ",465.2," 921,090 ",
20170412,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,230 ",441.6," 1,867,960 ",
20170421,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 1,980 ",465.2," 921,090 ",
20170421,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,170 ",441.6," 1,841,470 ",
20170502,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,010 ",465.2," 1,865,450 ",
20170502,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,190 ",441.6," 967,100 ",
20170510,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,970 ",465.2," 1,846,840 ",
20170510,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,190 ",441.6," 967,100 ",
20170519,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,990 ",465.2," 1,856,140 ",
20170519,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,180 ",441.6," 962,680 ",
20170529,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,240 ",465.2," 1,972,440 ",
20170529,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,200 ",441.6," 971,520 ",
20170607,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,220 ",465.2," 1,963,140 ",
20170607,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,180 ",441.6," 962,680 ",
20170614,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,040 ",465.2," 949,000 ",
20170614,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,160 ",441.6," 1,837,050 ",
20170622,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,130 ",465.2," 1,921,270 ",
20170622,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,180 ",441.6," 962,680 ",
20170703,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,050 ",465.2," 953,660 ",
20170703,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,140 ",441.6," 1,828,220 ",
20170712,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,260 ",465.2," 1,981,750 ",
20170712,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,220 ",441.6," 980,350 ",
20170721,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 1,990 ",465.2," 925,740 ",
20170721,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,190 ",441.6," 1,850,300 ",
20170731,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 1,980 ",465.2," 921,090 ",
20170731,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,980 ",441.6," 1,757,560 ",
20170810,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,050 ",465.2," 953,660 ",
20170810,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,110 ",441.6," 1,814,970 ",
20170818,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,010 ",465.2," 935,050 ",
20170818,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,230 ",441.6," 1,867,960 ",
20170828,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 1,990 ",465.2," 925,740 ",
20170828,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,180 ",441.6," 1,845,880 ",
20170904,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,010 ",441.6," 1,329,210 ",
20170908,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,000 ",465.2," 1,860,800 ",
20170908,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,020 ",441.6," 892,030 ",
20170915,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,050 ",465.2," 953,660 ",
20170915,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,310 ",441.6," 1,903,290 ",
20170925,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,930 ",465.2," 1,828,230 ",
20170925,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,170 ",441.6," 958,270 ",
20171010,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,010 ",465.2," 1,865,450 ",
20171010,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,210 ",441.6," 975,930 ",
20171010,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,030 ",465.2," 944,350 ",
20171010,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,210 ",441.6," 1,859,130 ",
20171016,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,040 ",465.2," 1,879,400 ",
20171016,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,020 ",441.6," 892,030 ",
20171023,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,160 ",465.2," 1,935,230 ",
20171023,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,290 ",441.6," 1,011,260 ",
20171030,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 1,950 ",465.2," 907,140 ",
20171030,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,520 ",441.6," 1,996,030 ",
20171106,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,350 ",441.6," 1,479,360 ",
