전표일자,ITEM_CD,제품코드/명  칭, 수  량 ,판매단가, 판매대금 ,
20170103,41912832,한우명품2호FB," 9,150 ",380.4," 3,480,660 ",
20170110,41912832,한우명품2호FB," 4,050 ",380.4," 1,540,620 ",
20170110,42114032,한우명품3호FB," 5,030 ",407.6," 2,050,220 ",
20170116,42114032,한우명품3호FB," 8,990 ",407.6," 3,664,320 ",
20170119,42114032,한우명품3호FB," 9,070 ",407.6," 3,696,930 ",
20170126,42114032,한우명품3호FB," 12,120 ",407.6," 4,940,110 ",
20170131,42114032,한우명품3호FB," 9,090 ",407.6," 3,705,080 ",
20170206,42114032,한우명품3호FB," 9,090 ",407.6," 3,705,080 ",
20170213,42114032,한우명품3호FB," 9,080 ",407.6," 3,701,000 ",
20170216,42114032,한우명품3호FB," 9,040 ",407.6," 3,684,700 ",
20170221,42114032,한우명품3호FB," 9,040 ",407.6," 3,684,700 ",
20170227,42114032,한우명품3호FB," 9,060 ",407.6," 3,692,850 ",
20170303,42114032,한우명품3호FB," 9,150 ",407.6," 3,729,540 ",
20170308,42114032,한우명품3호FB," 9,460 ",407.6," 3,855,890 ",
20170314,42114032,한우명품3호FB," 9,020 ",407.6," 3,676,550 ",
20170320,42114032,한우명품3호FB," 9,110 ",407.6," 3,713,230 ",
20170327,42114032,한우명품3호FB," 9,090 ",407.6," 3,705,080 ",
20170328,42114032,한우명품3호FB," 9,520 ",407.6," 3,880,350 ",
20170403,42114032,한우명품3호FB," 9,080 ",407.6," 3,701,000 ",
20170407,42114032,한우명품3호FB," 9,080 ",417.6," 3,791,800 ",
20170414,42114032,한우명품3호FB," 5,040 ",426," 2,147,040 ",
20170417,42114032,한우명품3호FB," 4,040 ",426," 1,721,040 ",
20170418,42114032,한우명품3호FB," 9,170 ",417.6," 3,829,390 ",
20170424,42114032,한우명품3호FB," 4,000 ",417.6," 1,670,400 ",
20170426,42114032,한우명품3호FB," 9,060 ",417.6," 3,783,450 ",
20170502,42114032,한우명품3호FB," 9,090 ",417.6," 3,795,980 ",
20170504,42114032,한우명품3호FB," 9,080 ",417.6," 3,791,800 ",
20170510,42114032,한우명품3호FB," 5,010 ",417.6," 2,092,170 ",
20170512,42114032,한우명품3호FB," 9,120 ",417.6," 3,808,510 ",
20170522,42114032,한우명품3호FB," 5,010 ",417.6," 2,092,170 ",
20170522,42114032,한우명품3호FB," 9,050 ",417.6," 3,779,280 ",
20170529,42114032,한우명품3호FB," 9,080 ",417.6," 3,791,800 ",
20170531,42114032,한우명품3호FB," 5,020 ",417.6," 2,096,350 ",
20170605,42114032,한우명품3호FB," 9,040 ",417.6," 3,775,100 ",
20170609,42114032,한우명품3호FB," 9,120 ",417.6," 3,808,510 ",
20170612,42114032,한우명품3호FB," 5,020 ",417.6," 2,096,350 ",
20170619,42114032,한우명품3호FB," 9,050 ",417.6," 3,779,280 ",
20170620,42114032,한우명품3호FB," 5,030 ",417.6," 2,100,520 ",
20170626,42114032,한우명품3호FB," 9,080 ",417.6," 3,791,800 ",
20170630,42114032,한우명품3호FB," 8,050 ",417.6," 3,361,680 ",
20170705,42114032,한우명품3호FB," 9,130 ",417.6," 3,812,680 ",
20170710,42114032,한우명품3호FB," 5,030 ",417.6," 2,100,520 ",
20170713,42114032,한우명품3호FB," 9,110 ",417.6," 3,804,330 ",
20170719,42114032,한우명품3호FB," 9,120 ",417.6," 3,808,510 ",
20170721,42114032,한우명품3호FB," 5,050 ",417.6," 2,108,880 ",
20170731,42114032,한우명품3호FB," 5,050 ",417.6," 2,108,880 ",
20170801,42114032,한우명품3호FB," 9,170 ",417.6," 3,829,390 ",
20170807,42114032,한우명품3호FB," 9,070 ",417.6," 3,787,630 ",
20170814,42114032,한우명품3호FB," 9,140 ",417.6," 3,816,860 ",
20170816,42114032,한우명품3호FB," 5,030 ",417.6," 2,100,520 ",
20170821,42114032,한우명품3호FB," 9,080 ",417.6," 3,791,800 ",
20170828,42114032,한우명품3호FB," 9,070 ",417.6," 3,787,630 ",
20170829,42114032,한우명품3호FB," 9,130 ",417.6," 3,812,680 ",
20170901,42114032,한우명품3호FB," 5,080 ",417.6," 2,121,400 ",
20170906,42114032,한우명품3호FB," 9,080 ",417.6," 3,791,800 ",
20170912,42114032,한우명품3호FB," 9,160 ",417.6," 3,825,210 ",
20170914,42114032,한우명품3호FB," 5,100 ",417.6," 2,129,760 ",
20170920,42114032,한우명품3호FB," 9,050 ",417.6," 3,779,280 ",
20170926,42114032,한우명품3호FB," 11,700 ",417.6," 4,885,920 ",
20171010,42114032,한우명품3호FB," 6,070 ",417.6," 2,534,830 ",
20171010,42114032,한우명품3호FB," 4,040 ",417.6," 1,687,100 ",
20171011,42114032,한우명품3호FB," 6,070 ",417.6," 2,534,830 ",
20171017,42114032,한우명품3호FB," 5,040 ",417.6," 2,104,700 ",
20171024,42114032,한우명품3호FB," 3,080 ",417.6," 1,286,200 ",
20171101,42114032,한우명품3호FB," 2,040 ",417.6," 851,900 ",
20171108,42114032,한우명품3호FB," 2,060 ",417.6," 860,250 ",
20171115,42114032,한우명품3호FB," 3,070 ",417.6," 1,282,030 ",
20171121,42114032,한우명품3호FB," 3,100 ",409.6," 1,269,760 ",
20171205,42114032,한우명품3호FB," 6,080 ",409.6," 2,490,360 ",
20171220,42114032,한우명품3호FB," 9,140 ",409.6," 3,743,740 ",
20180102,42114032,한우명품3호FB," 9,110 ",409.6," 3,731,450 ",
20180115,42114032,한우명품3호FB," 9,270 ",409.6," 3,796,990 ",
20180123,42114032,한우명품3호FB," 9,390 ",409.6," 3,846,140 ",
20180201,42114032,한우명품3호FB," 9,160 ",409.6," 3,751,930 ",
20180212,42114032,한우명품3호FB," 12,330 ",409.6," 5,050,360 ",
20180226,42114032,한우명품3호FB," 9,140 ",409.6," 3,743,740 ",
20180307,42114032,한우명품3호FB," 9,100 ",409.6," 3,727,360 ",
20180319,42114032,한우명품3호FB," 9,130 ",409.6," 3,739,640 ",
20180326,42114032,한우명품3호FB," 3,020 ",409.6," 1,236,990 ",
20180403,42114032,한우명품3호FB," 9,160 ",409.6," 3,751,930 ",
20180409,42114032,한우명품3호FB," 6,090 ",409.6," 2,494,460 ",
20180420,42114032,한우명품3호FB," 9,100 ",409.6," 3,727,360 ",
20180430,42114032,한우명품3호FB," 9,130 ",409.6," 3,739,640 ",
20180509,42114032,한우명품3호FB," 6,070 ",409.6," 2,486,270 ",
20180517,42114032,한우명품3호FB," 9,160 ",409.6," 3,751,930 ",
20180521,42114032,한우명품3호FB," 3,060 ",409.6," 1,253,370 ",
20180528,42114032,한우명품3호FB," 3,060 ",409.6," 1,253,370 ",
